date,temperature,humidity,heat_index,pressure
2025-03-03T00:00:00+08:00,26.02,87.04,26.02,999.62
2025-03-03T00:01:01+08:00,25.93,86.91,25.93,999.59
2025-03-03T00:02:00+08:00,26.04,87.72,26.04,999.56
2025-03-03T00:03:00+08:00,25.93,86.91,25.93,999.55
2025-03-03T00:04:02+08:00,26.0,87.15,26.0,999.5
2025-03-03T00:05:01+08:00,25.95,86.92,25.95,999.44
2025-03-03T00:06:00+08:00,25.95,87.18,25.95,999.41
2025-03-03T00:07:00+08:00,25.91,87.12,25.91,999.45
2025-03-03T00:08:01+08:00,25.97,86.8,25.97,999.47
2025-03-03T00:09:01+08:00,25.93,87.03,25.93,999.49
2025-03-03T00:10:00+08:00,25.87,87.45,25.87,999.53
2025-03-03T00:11:00+08:00,26.02,87.12,26.02,999.5
2025-03-03T00:12:01+08:00,25.89,87.21,25.89,999.47
2025-03-03T00:13:01+08:00,25.89,87.04,25.89,999.47
2025-03-03T00:14:00+08:00,25.78,87.19,25.78,999.43
2025-03-03T00:15:02+08:00,25.91,87.38,25.91,999.4
2025-03-03T00:16:01+08:00,26.02,87.57,26.02,999.44
2025-03-03T00:17:00+08:00,25.99,87.28,25.99,999.38
2025-03-03T00:18:00+08:00,25.97,87.44,25.97,999.37
2025-03-03T00:19:01+08:00,25.93,87.43,25.93,999.42
2025-03-03T00:20:01+08:00,25.93,88.45,25.93,999.41
2025-03-03T00:21:00+08:00,25.89,87.18,25.89,999.4
2025-03-03T00:22:00+08:00,26.13,87.08,26.13,999.35
2025-03-03T00:23:01+08:00,26.1,87.31,26.1,999.32
2025-03-03T00:24:01+08:00,25.99,86.61,25.99,999.31
2025-03-03T00:25:00+08:00,25.8,87.25,25.8,999.27
2025-03-03T00:26:00+08:00,25.93,86.94,25.93,999.27
2025-03-03T00:27:01+08:00,26.02,86.99,26.02,999.33
2025-03-03T00:28:00+08:00,25.91,87.24,25.91,999.29
2025-03-03T00:29:00+08:00,25.86,87.32,25.86,999.24
2025-03-03T00:30:01+08:00,25.93,87.43,25.93,999.21
2025-03-03T00:31:01+08:00,25.8,87.11,25.8,999.22
2025-03-03T00:32:00+08:00,25.89,86.11,25.89,999.18
2025-03-03T00:33:00+08:00,25.89,87.22,25.89,999.18
2025-03-03T00:34:01+08:00,25.99,87.19,25.99,999.14
2025-03-03T00:35:01+08:00,25.89,87.45,25.89,999.17
2025-03-03T00:36:00+08:00,25.99,87.49,25.99,999.16
2025-03-03T00:37:00+08:00,25.95,87.61,25.95,999.19
2025-03-03T00:38:01+08:00,25.93,87.23,25.93,999.21
2025-03-03T00:39:01+08:00,25.97,87.45,25.97,999.21
2025-03-03T00:40:00+08:00,25.99,87.42,25.99,999.22
2025-03-03T00:41:02+08:00,25.95,87.49,25.95,999.21
2025-03-03T00:42:01+08:00,25.97,87.21,25.97,999.2
2025-03-03T00:43:00+08:00,25.89,87.22,25.89,999.18
2025-03-03T00:44:00+08:00,25.87,87.39,25.87,999.17
2025-03-03T00:45:01+08:00,25.91,86.94,25.91,999.18
2025-03-03T00:46:01+08:00,25.87,87.35,25.87,999.15
2025-03-03T00:47:00+08:00,25.95,87.47,25.95,999.13
2025-03-03T00:48:00+08:00,25.84,87.35,25.84,999.18
2025-03-03T00:49:01+08:00,25.84,88.07,25.84,999.13
2025-03-03T00:50:01+08:00,25.78,87.66,25.78,999.13
2025-03-03T00:51:00+08:00,26.04,87.41,26.04,999.15
2025-03-03T00:52:02+08:00,25.91,87.26,25.91,999.12
2025-03-03T00:53:01+08:00,25.87,87.13,25.87,999.16
2025-03-03T00:54:00+08:00,25.87,87.29,25.87,999.14
2025-03-03T00:55:00+08:00,25.89,87.31,25.89,999.11
2025-03-03T00:56:01+08:00,25.69,87.21,25.69,999.08
2025-03-03T00:57:01+08:00,25.95,87.35,25.95,999.08
2025-03-03T00:58:00+08:00,25.87,86.53,25.87,999.11
2025-03-03T00:59:00+08:00,26.02,87.42,26.02,999.15
2025-03-03T01:00:01+08:00,25.97,87.21,25.97,999.09
2025-03-03T01:01:01+08:00,25.99,87.38,25.99,999.12
2025-03-03T01:02:00+08:00,25.89,87.37,25.89,999.05
2025-03-03T01:03:00+08:00,25.78,87.19,25.78,999.04
2025-03-03T01:04:01+08:00,25.84,87.01,25.84,998.98
2025-03-03T01:05:01+08:00,25.78,87.09,25.78,999.01
2025-03-03T01:06:00+08:00,25.91,87.31,25.91,998.98
2025-03-03T01:07:02+08:00,25.87,87.3,25.87,998.92
2025-03-03T01:08:01+08:00,25.71,86.81,25.71,998.9
2025-03-03T01:09:00+08:00,25.93,87.45,25.93,998.87
2025-03-03T01:10:00+08:00,25.95,87.51,25.95,998.95
2025-03-03T01:11:01+08:00,25.76,87.34,25.76,998.86
2025-03-03T01:12:01+08:00,25.91,87.13,25.91,998.86
2025-03-03T01:13:00+08:00,25.97,87.23,25.97,998.91
2025-03-03T01:14:00+08:00,26.04,87.2,26.04,998.86
2025-03-03T01:15:01+08:00,25.78,87.31,25.78,998.85
2025-03-03T01:16:01+08:00,26.13,87.67,26.13,998.82
2025-03-03T01:17:00+08:00,25.91,87.69,25.91,998.85
2025-03-03T01:18:02+08:00,25.82,87.24,25.82,998.82
2025-03-03T01:19:01+08:00,25.8,87.9,25.8,998.83
2025-03-03T01:20:00+08:00,25.93,87.44,25.93,998.81
2025-03-03T01:21:00+08:00,25.78,86.57,25.78,998.84
2025-03-03T01:22:01+08:00,25.93,87.37,25.93,998.85
2025-03-03T01:23:01+08:00,25.69,87.51,25.69,998.85
2025-03-03T01:24:00+08:00,25.87,87.44,25.87,998.84
2025-03-03T01:25:00+08:00,25.95,87.79,25.95,998.89
2025-03-03T01:26:01+08:00,25.76,87.38,25.76,998.78
2025-03-03T01:27:01+08:00,25.75,87.28,25.75,998.81
2025-03-03T01:28:00+08:00,25.84,87.33,25.84,998.76
2025-03-03T01:29:00+08:00,25.89,87.74,25.89,998.8
2025-03-03T01:30:01+08:00,25.82,87.47,25.82,998.8
2025-03-03T01:31:00+08:00,25.87,87.11,25.87,998.84
2025-03-03T01:32:00+08:00,25.78,87.38,25.78,998.81
2025-03-03T01:33:01+08:00,25.95,87.72,25.95,998.79
2025-03-03T01:34:01+08:00,25.87,87.53,25.87,998.78
