date, temperature, humidity, heat_index, pressure
2025-05-13T15:37:01+08:00,30.7,62.3,34.77,999.34
2025-05-13T15:38:00+08:00,30.57,62.48,34.54,999.34
2025-05-13T15:57:01+08:00,30.78,60.08,34.4,999.32
2025-05-13T15:58:01+08:00,30.8,59.81,34.37,999.32
2025-05-13T15:59:00+08:00,30.76,60.14,34.37,999.36
2025-05-13T16:00:02+08:00,30.85,60.17,34.57,999.32
2025-05-13T16:10:00+08:00,30.85,59.94,34.52,999.33
2025-05-13T16:15:01+08:00,30.7,59.98,34.22,999.34
2025-05-13T16:20:00+08:00,30.39,60.99,33.81,999.42
2025-05-13T16:25:02+08:00,30.44,60.76,33.87,999.47
2025-05-13T16:30:01+08:00,30.43,60.12,33.69,999.52
2025-05-13T16:35:00+08:00,30.3,59.52,33.3,999.47
2025-05-13T16:40:01+08:00,30.31,59.83,33.41,999.5
2025-05-13T16:45:01+08:00,30.37,58.93,33.32,999.49
2025-05-13T16:50:00+08:00,30.31,60.79,33.61,999.58
2025-05-13T16:55:01+08:00,30.3,64.11,34.32,999.61
2025-05-13T17:00:00+08:00,30.35,64.97,34.65,999.61
2025-05-13T17:05:02+08:00,30.46,65.89,35.13,999.65
2025-05-13T17:10:01+08:00,30.5,65.61,35.14,999.72
2025-05-13T17:15:00+08:00,30.41,65.37,34.87,999.77
2025-05-13T17:20:01+08:00,30.39,65.88,34.95,999.77
2025-05-13T17:25:01+08:00,30.46,65.63,35.06,999.76
2025-05-13T17:30:00+08:00,30.43,64.91,34.8,999.76
2025-05-13T17:35:01+08:00,30.59,66.11,35.48,999.81
2025-05-13T17:40:01+08:00,30.44,66.05,35.12,999.8
2025-05-13T17:45:00+08:00,30.54,66.67,35.5,999.82
2025-05-13T17:50:01+08:00,30.33,66.33,34.94,999.85
2025-05-13T17:55:00+08:00,30.46,66.59,35.3,999.84
2025-05-13T18:00:02+08:00,30.46,66.6,35.3,999.86
2025-05-13T18:05:01+08:00,30.48,66.53,35.33,999.95
2025-05-13T18:10:00+08:00,30.41,66.21,35.07,1000.02
2025-05-13T18:15:01+08:00,30.5,66.37,35.33,1000.04
2025-05-13T18:20:00+08:00,30.39,65.79,34.93,1000.03
2025-05-13T18:25:00+08:00,30.31,65.54,34.7,1000.17
2025-05-13T18:30:01+08:00,30.35,64.75,34.59,1000.21
